posts,angry,fear,happy,neutral,sad,surprise
话说我真的是个超级好哄的女孩，心情不好了一个小礼物我就笑了，完全不带脾气的那种！🙃,0.18,0.0,0.87,0.0,0.0,0.08
今天跟朋友去逛街，看到一个超好看的包包，结果跟她讲了10分钟“我真的太喜欢了”，她竟然直接给我买了！😱💕,0.0,0.0,0.58,0.0,0.0,0.53
一直觉得自己能带给别人快乐，但其实我有时候也需要很多温暖。大概就是个超级外向的内心小女孩吧。😊💖,0.0,0.0,0.84,0.0,0.08,0.09
最近偶然想起来小时候那些年一起疯玩的小伙伴们，突然觉得自己真的有点怀旧了。😭,0.0,0.0,0.21,0.07,0.65,0.12
朋友说我很适合当派对女王，我说我就是个生活中的派对！🎉,0.0,0.0,0.78,0.2,0.0,0.15
为什么每次我看电影，都能突然感同身受地想哭？说好不被感动的，结果一看到深情的眼神就炸裂了。🎬😭,0.1,0.0,0.0,0.0,0.9,0.15
为什么总觉得自己像个大气球，气得很足，总是满满的活力，想带大家一起飞！🎈,0.21,0.0,0.64,0.0,0.1,0.08
其实我就是那种不管碰到什么都能笑得出来的人，就算摔倒了也能站起来说：“哎，挺好玩的！”🤸‍♀️,0.08,0.0,0.94,0.0,0.0,0.0
发现自己最近越来越不怕表达情绪了，大胆去爱，大胆去恨，这就是我的人生态度！💃💥,0.0,0.0,0.92,0.0,0.0,0.06
今天去游泳，结果泳池里所有人都盯着我看，我还以为自己变成美人鱼了。🐠🌊,0.06,0.0,0.05,0.09,0.25,0.53
做自己最爱的事，哪怕别人说你疯了也没关系，谁规定生活就得是死气沉沉的？🦋,0.5,0.06,0.19,0.09,0.28,0.0
走到哪儿都像个小太阳，虽然有点傻，但真心希望周围的人都能感受到我的光。🌞,0.0,0.0,1.0,0.0,0.0,0.0
说真的，我就是个超级重感情的人，一旦喜欢了，就绝对不会轻易放手。💘,0.0,0.0,0.51,0.18,0.3,0.05
谁能帮我找到一个可以和我一起疯狂、一起吃好吃的、一起看无聊电影的人？！真的，感觉自己已经孤单太久了。🍿🎉,0.17,0.0,0.0,0.0,0.93,0.0
心情突然好到了天际，决定去做个大手笔的购物，今晚要好好犒劳自己！🛍️💅,0.0,0.0,0.96,0.0,0.07,0.0
为什么人类总是贪得无厌，刚刚得到了一个小惊喜，就开始想要更多！🚀,0.38,0.0,0.14,0.09,0.26,0.22
想过好久，真的希望能找到一个一直笑得像个傻瓜的男朋友。笑声就是最好的恋爱语音！🎶,0.0,0.0,0.99,0.0,0.09,0.0
有时候，爱一个人不一定要说出来，眼神、微笑、甚至是一起吃的那碗拉面都能让你明白。🍜,0.0,0.0,0.67,0.25,0.22,0.0
今天拿到一份意外的礼物，瞬间心情变好，我就是这种超级容易被打动的人！🎁,0.0,0.0,0.97,0.0,0.0,0.1
朋友圈看着好多人的旅行照，我心想，嗯，什么时候我也能像他们一样四处游走，随时准备冒险？🌍✨,0.0,0.0,0.45,0.15,0.12,0.3
刚刚跟一个陌生人搭话了，结果聊得好开心，感觉自己真的是天生社交小能手！👯‍♀️,0.0,0.0,0.97,0.0,0.0,0.1
不知道为什么，总是特别享受在大城市的喧嚣中，感觉每个角落都充满了生命力！🗽,0.0,0.0,0.96,0.0,0.0,0.06
