posts,angry,fear,happy,neutral,sad,surprise
刚打完比赛，感觉整个人都解脱了！虽然最后的团战有点混乱，但能赢真的太爽了！每次胜利都觉得值！#电竞#💥,0.0,0.0,1.0,0.0,0.0,0.0
昨天去看了ttg的比赛，场面真的超震撼！尤其是那一波五杀，简直是我的梦中情景！希望下次能再看到这么精彩的表现！#电竞#🔥,0.0,0.0,0.94,0.0,0.0,0.12
今天终于打了个五杀，太激动了！比赛结束后整个办公室都炸了，感觉自己像个英雄！哈哈！每次回顾那一刻，都能感受到热血沸腾！#游戏#🎮,0.0,0.0,1.0,0.0,0.0,0.0
最近换了新车，开着它跑了几个地方，简直开心到飞起！自己努力的成果真是能带给人满满的动力！开车的感觉真的很爽！#生活#🚗,0.0,0.0,1.0,0.0,0.0,0.0
看完ttg的比赛，心情一直激动不已！这场比赛太刺激了，我的脑袋还在回想着每一波操作，简直是享受！🔥#电竞#🏆,0.0,0.0,0.93,0.0,0.0,0.05
这几天加班加到快疯了，幸好有空隙能偷偷打打游戏，真的太解压了。是时候给自己放个假，来点小放松了！#工作#💻,0.07,0.0,0.84,0.0,0.11,0.0
最近被一部剧吸引住了，剧情紧凑，角色也很吸引人！每次看到剧情高潮处，我都忍不住心跳加速。#剧集#🎬,0.0,0.0,0.84,0.0,0.0,0.11
昨天和朋友们一起去看了比赛，虽然最终输了，但也学到了很多东西。每一次失败，都是成长的机会！#电竞#💪,0.0,0.0,0.98,0.0,0.08,0.0
今天去见了一个老朋友，聊了很多以前的事情。感叹时间过得真快，大家都在不知不觉中改变，但每一次的相聚都是珍贵的。#友情#👯‍♂️,0.0,0.0,0.93,0.0,0.08,0.06
这次旅行太棒了！清新的空气，美丽的风景，还有身边亲朋的陪伴，真的是生活中最美好的时光！#旅行#🌄,0.0,0.0,1.0,0.0,0.0,0.05
最近突然对健身产生了兴趣，开始跑步和做力量训练。每次流汗的感觉都让我觉得特别有成就感！#健身#💪,0.0,0.0,0.92,0.08,0.0,0.0
今天去了一家新餐厅，环境超棒，菜品也很独特！每一口都觉得是在享受美食的艺术。#美食#🍣,0.0,0.0,0.95,0.08,0.0,0.12
真是不知道该说什么好，最近一切都在忙碌中度过。偶尔停下脚步，发现周围的一切都那么美好。#生活#🍃,0.1,0.0,0.7,0.0,0.25,0.09
每天的游戏都像是和自己的一场较量，挑战自己的极限。每一次成功都让我感觉像是赢得了整个世界！#游戏#🎮,0.0,0.0,0.97,0.06,0.0,0.0
最近心情低落了好多天，幸好有朋友陪我聊天，分享一些开心的事情，才让我的世界不再那么沉闷。#友情#🗨️,0.1,0.0,0.67,0.0,0.26,0.0
看着ttg在赛场上的表现，我心里充满了敬意。这种专注和拼劲，真的很让人佩服！#电竞#🏆,0.0,0.0,0.94,0.06,0.0,0.0
最近工作上遇到一些挑战，但我知道这些都是成长的机会。每次突破自己，都会有新的收获！#工作#🚀,0.0,0.0,0.98,0.0,0.0,0.0
今天真是充满了能量！忙碌了一整天，感觉自己像充满电的电池，什么时候都能爆发！#动力#⚡,0.0,0.0,1.0,0.0,0.0,0.0
最近在忙着准备新的项目，虽然有点压力，但也充满了期待。希望一切顺利，能尽快看到成果！#工作#📈,0.1,0.0,0.92,0.0,0.0,0.0
周末去爬山，累得不行，但站在山顶时，看到那片广阔的景象，感觉一切疲惫都值得！#旅行#⛰️,0.0,0.0,0.94,0.0,0.15,0.0
最近看了一本书，突然有点感触。人生总是在不断的选择中前行，每一步都决定了我们的未来。#思考#📚,0.0,0.0,0.77,0.12,0.08,0.07
看完ttg的比赛，心情依然没有平静。每次胜利带来的喜悦，真的是一种无可比拟的成就感！#电竞#🎉,0.0,0.0,0.98,0.0,0.0,0.07
最近好久没和朋友们聚会了，今天终于有机会一起去逛街，聊聊生活，感觉特别放松。#友情#👗,0.0,0.0,0.98,0.0,0.0,0.0
生活中的小确幸就是能做自己喜欢的事情，今天终于有时间看了一部期待已久的电影，真的是超值得！#电影#🎬,0.0,0.0,1.0,0.0,0.0,0.0
不知道为什么，最近特别容易被一些小事影响心情。希望自己能尽快调整，重新找回那个积极向上的自己。#生活#💭,0.12,0.0,0.55,0.09,0.33,0.0
最近工作压力越来越大，但我知道，越是困难的时刻，越是能够锻炼自己的时候。#成长#🔥,0.0,0.07,0.92,0.0,0.1,0.0
今天去参加了一个活动，认识了好多新朋友，聊得很开心。生活就是要充满新鲜感，不断认识新的人！#社交#🎉,0.0,0.0,1.0,0.0,0.0,0.0
每次看完ttg的比赛，我都被他们的拼劲和团队精神所感染。真的是希望自己能像他们一样不放弃！#电竞#⚔️,0.0,0.0,1.0,0.0,0.0,0.0
今天去了一个新开的咖啡馆，环境好到爆，咖啡也特别好喝。真是一个适合慢慢品味的好地方！#咖啡#☕️,0.0,0.0,0.98,0.08,0.0,0.1
最近有点疲惫，但我知道，只有坚持下去，才能迎接更美好的未来。每一步都算是前进，不能放弃！#努力#💯,0.0,0.07,1.0,0.0,0.0,0.0
