posts,angry,fear,happy,neutral,sad,surprise
买个便宜的烤箱，烤了个面包，结果直接被我烧焦了。是不是太懒了？还是我的技术太烂，反正心情倒是更烤焦了。,0.33,0.0,0.0,0.18,0.44,0.17
每次加班到深夜，发现自己真是个彻头彻尾的低效率工作者，简直没救了。,0.57,0.0,0.0,0.0,0.54,0.0
路过个饭店，看到他们的广告牌写着“美味五折”。我问，五折的美味是什么样子？老板愣了一下，说：“你来了就知道。”,0.0,0.0,0.16,0.45,0.0,0.39
最近花时间研究了一些跑步技巧，发现我唯一能做的就是躺着，啥都不做，跑步就错过了。真心佩服那些天天锻炼的人。,0.0,0.0,0.58,0.1,0.13,0.06
眼看着年纪越来越大，突然意识到，生活就是吃了睡，睡了吃，再然后，开始努力的活着。大家是不是都这样？,0.11,0.0,0.44,0.15,0.31,0.2
谁说吃方便面不营养的？我能告诉你，四种口味混着吃，不仅营养丰富，而且吃了就开心。这个世界有很多黑暗，我给自己找了点亮光。,0.0,0.0,0.84,0.11,0.0,0.0
打算下个月去旅游，发现自己最后只花了时间研究天气预报。出发前五分钟决定带哪件外套，比计划景点还重要。,0.0,0.0,0.08,0.35,0.43,0.16
早上喝了杯咖啡，突然发现比昨天好多了。看来问题不在咖啡，而是自己每天不想努力的心情。,0.0,0.0,0.13,0.08,0.69,0.14
去年买了部新手机，结果放着玩了两天就丢一边了。就我这样的大脑，是时候重新调整一下了。,0.18,0.0,0.05,0.11,0.74,0.0
看到某个朋友发朋友圈炫耀新买的车，心想：哦，真牛逼，既然能让车成为自我价值的象征，我还真有点羡慕。,0.0,0.0,0.78,0.0,0.0,0.14
最近发现，早晨起来不想做事的原因，竟然是昨天没做够。没有深夜的那种慌张感，活着怎么会有动力？,0.0,0.16,0.0,0.0,0.53,0.45
大学毕业时，我就知道，最可怕的不是找工作，而是接到不明的电话。那感觉，就像背后有双眼睛在盯着。,0.0,0.55,0.0,0.19,0.12,0.21
又是年末，突然觉得是不是该换个工作，放弃“安定”才是我想要的生活方式？但又觉得放弃太麻烦，果然还是懒。,0.1,0.0,0.12,0.0,0.68,0.16
继续熬夜，这次是因为想完成一项“意义深远”的项目，结果发现，真的是为了让自己不睡觉而找借口。,0.14,0.0,0.0,0.07,0.67,0.14
打算去健身房，但每次一到那里，看着人们忙碌的样子，我就开始思考，自己到底在忙些什么？,0.14,0.05,0.0,0.24,0.62,0.18
穿着厚重的外套走在街上，突然想明白了，冬天不适合穿新衣服。让人不舒服，还浪费钱。,0.61,0.0,0.0,0.0,0.4,0.0
总觉得自己能在未来的某个时刻爆发，结果今天中午还是吃了个碗面，不甘心，但好像没办法。,0.0,0.06,0.0,0.06,0.87,0.0
昨天做了个测试，结果得知自己适合当个工程师，后来才发现，我不过是喜欢用钳子和锤子而已。,0.0,0.0,0.14,0.36,0.28,0.32
今天坐公交，旁边的女孩拿着手机刷剧，突然有个想法：我干脆也在车上做一件无聊的事，等下车再决定。,0.25,0.0,0.0,0.39,0.31,0.19
工作上的不顺心，让我意识到，是时候反思一下：这个世界上，我到底有几个能和我交换个高效日程的人？,0.33,0.0,0.0,0.2,0.46,0.06
看到别人炫耀成功，我只有一句话：成功什么的，不如先弄清楚怎么把这杯咖啡喝完才重要。,0.07,0.0,0.44,0.27,0.22,0.0
总觉得写什么东西，总会让别人看出些“假大空”的感觉，干脆不写了，毕竟比装逼更烦。,0.73,0.0,0.0,0.09,0.23,0.0
看电视的时候，不小心注意到广告，结果我真想看看，下一秒会不会有个和我一样无聊的人也在看。,0.39,0.0,0.0,0.07,0.26,0.33
