posts,angry,fear,happy,neutral,sad,surprise
你们说的“人脉”有时真是个笑话。要么你能利用我，要么我能利用你，不然我们不需要多说什么。效率才是关键。,0.57,0.0,0.15,0.25,0.0,0.0
工作没做完？别找借口，做不好就是做不好，调整方法，提升自己，而不是在懒惰和拖延之间辩解。,0.26,0.0,0.46,0.3,0.08,0.0
做事不怕辛苦，只怕效率低。今天的目标达成了吗？如果没，那就加班，直到达成。,0.12,0.12,0.5,0.19,0.26,0.0
我理解“关系重于能力”，但是结果才是最重要的。光靠关系是没法最终超越别人的。,0.0,0.0,0.25,0.54,0.19,0.0
我不喜欢瞎聊。直奔主题，别浪费彼此的时间。工作就是高效，不是社交。,0.39,0.0,0.31,0.28,0.11,0.06
别总是拿“我压力大”当借口。每个人都有压力，能扛住才算强者。,0.05,0.0,0.5,0.32,0.1,0.0
不喜欢无理取闹的人。我不在乎你们的感受，结果决定一切。,0.2,0.0,0.4,0.26,0.08,0.1
领导力不是空谈，是用行动和结果说话。站在团队前面，推动变化。,0.07,0.0,0.39,0.66,0.0,0.0
情商高？对我来说，关键是能否提出解决方案，能否快速做出决策。,0.0,0.0,0.19,0.66,0.0,0.1
今天的“我没时间”就是明天的“我又做不好”。时间不是问题，态度才是。,0.37,0.0,0.12,0.21,0.35,0.0
我更喜欢一个能快速解决问题的人，而不是总是抱怨情况不好的那种。,0.0,0.0,0.72,0.28,0.0,0.0
赚钱的路有很多，选对方向比一切都重要。走错一步，可能错过一生。,0.0,0.0,0.44,0.4,0.29,0.0
不能让我实现价值的人，不值得浪费时间。是合作，不是索取。,0.37,0.0,0.35,0.16,0.19,0.0
从不会轻易妥协，决策就是行动，后悔没时间。,0.07,0.09,0.22,0.16,0.6,0.0
明天的目标：早起，处理完所有紧急任务。说再多，行动才是王道。,0.0,0.0,0.69,0.23,0.0,0.0
人生不做空谈。想做的事就做，失败了再调整。,0.0,0.0,0.66,0.35,0.12,0.0
解决问题，效率第一。过程和理由永远排在最后。,0.13,0.0,0.27,0.71,0.0,0.0
个人成就感不是靠别人认可，而是自己超越了昨天的自己。,0.0,0.0,0.72,0.31,0.0,0.0
为了效率，所有不必要的社交我都尽量避免。工作是第一位的。,0.13,0.0,0.28,0.47,0.0,0.0
办事慢的团队，最终会被淘汰。速度和结果决定了市场。,0.19,0.0,0.06,0.65,0.1,0.0
好好工作，别为自己的错误找借口。失败一次，做好准备第二次。,0.0,0.0,0.68,0.21,0.11,0.0
如果没有计划，没有执行力，一切只是白费力气。成功只是一个结果，努力是过程。,0.0,0.0,0.29,0.49,0.34,0.0
有些人永远在抱怨环境，真正强的人会去改造这个环境。,0.31,0.0,0.09,0.48,0.07,0.0
如果不能带来价值，那你就浪费我的时间。合作前先想想你能提供什么。,0.48,0.0,0.0,0.32,0.2,0.0
成功不是运气，是深思熟虑后的每一个决策。每一步都要踩在稳固的基础上。,0.0,0.0,0.6,0.48,0.0,0.0
做任何事都有代价。如果不愿为成功付出，那就做好接受失败的准备。,0.0,0.0,0.58,0.38,0.07,0.0
你不努力，永远只能在原地打转，别人都在走，你却还在考虑下一步。,0.07,0.0,0.07,0.25,0.69,0.0
有些人总是觉得别人做得不对，其实是自己没能力。少抱怨，多行动。,0.07,0.0,0.34,0.32,0.47,0.0
想要事业成功，首先要有独立思考的能力。不要总是依赖别人。,0.0,0.0,0.56,0.48,0.0,0.0
我不怕任何挑战，我怕的是没有挑战的日子。,0.0,0.37,0.19,0.15,0.14,0.0
工作不能只看时间长短，更重要的是效率和质量。,0.0,0.0,0.29,0.78,0.0,0.0
你们说的“低调做人”我从不信。做得好，才会被看见，才有机会。,0.11,0.0,0.51,0.22,0.0,0.07
别拿自己当成弱者。压力是成长的动力，面对它，才能超越它。,0.0,0.0,0.66,0.36,0.0,0.0
做事要有决断力。拖延不解决问题，只有果断行动才能赢得先机。,0.06,0.0,0.41,0.58,0.0,0.0
每次失败都得分析原因，不只是自我安慰。总结教训，再从头来过。,0.0,0.0,0.67,0.23,0.13,0.0
生活不该只有舒适区，挑战才会带来成长。没必要在舒适中等待机会。,0.0,0.0,0.48,0.39,0.09,0.0
学会独立思考，别人告诉你怎么做不一定对。自己的决策才最重要。,0.0,0.0,0.5,0.45,0.0,0.0
我不是懒，而是要让每个决定都精准有效。浪费时间对我来说是最大浪费。,0.45,0.05,0.08,0.24,0.19,0.0
只要目标明确，就不会在难题面前停步。每一小步都离成功更近。,0.0,0.0,0.77,0.24,0.0,0.0
当下的努力，决定了未来的格局。走对路，做对事。,0.0,0.0,0.69,0.35,0.0,0.0
结果决定一切，尤其在工作中，光说不练的人永远只能是看客。,0.14,0.0,0.09,0.53,0.28,0.0
追求卓越的过程本身就是一种享受，持续高效，迎接每个挑战。,0.0,0.0,0.88,0.19,0.0,0.0
要给自己设定更高的标准，只有超越自己，才能真正获得别人认可。,0.0,0.0,0.56,0.47,0.0,0.0
复杂的事情交给我，简单的事情去做。只有在挑战中才能感受到成就。,0.0,0.0,0.83,0.14,0.0,0.0
成功的人不怕失败，他们知道，失败只是下一次成功的前奏。,0.0,0.0,0.51,0.48,0.0,0.0
工作到最后才发现，真正重要的是如何用结果说服别人，而不是努力本身。,0.0,0.0,0.4,0.32,0.28,0.0
身边总是有些人拖延症严重，果断做事才是赢家。,0.0,0.0,0.3,0.46,0.21,0.0
不为自己开脱，做得不好就是做得不好。没有任何理由。,0.25,0.0,0.4,0.23,0.2,0.0
每个成功背后都有不为人知的努力，习惯了背后默默付出。,0.0,0.0,0.6,0.27,0.17,0.0
如果这周没有达到预期，那就加倍努力。时间不等人。,0.0,0.0,0.52,0.37,0.0,0.0
