posts,angry,fear,happy,neutral,sad,surprise
#[num]plog来了吗# 回家过年咯！终于能和家人团聚，期待着这一年能有更多温馨的时光！🥹🚄 #春节#,0.0,0.0,0.97,0.0,0.06,0.06
#[num]恋爱记录本# 每天睡前都能听到“我爱你”，我真的好幸福！这段恋爱让我学会了更多沟通与理解。💖,0.0,0.0,0.93,0.0,0.08,0.0
今天和朋友们聊天，真的感到无比幸福，互联网的朋友们也一样，大家的关心让我充满了动力！💌 #友谊长存#,0.0,0.0,1.0,0.0,0.0,0.0
有爸爸妈妈的支持，有男朋友的陪伴，还有天使朋友们的关怀，我真的好幸运！每天都感恩生活的一切。🙏,0.0,0.0,1.0,0.0,0.0,0.0
太久没发plog了，最近忙得不可开交，现在终于有时间和大家分享我的生活啦！开心！📸 #生活记录#,0.05,0.0,1.0,0.0,0.0,0.0
最近的恋爱真的是超级健康！我喜欢直接沟通、表达爱意，终于找到了最适合我的恋爱方式！💑,0.0,0.0,1.0,0.0,0.0,0.0
在地铁上听蔷姐的歌，感觉自己瞬间被激励了！随时准备开启新的一天！🎶 #音乐时光#,0.0,0.0,1.0,0.0,0.0,0.0
#[num]plog来了吗# 分享我的开心时光！每一天的点滴都值得记录，让生活充满小确幸！✨,0.0,0.0,1.0,0.0,0.0,0.0
我决定开始减肥了！从今天开始，戒糖戒零食，做一个更健康的自己！加油！💪 #减肥日记#,0.0,0.0,0.96,0.07,0.07,0.0
最近开始对“心动”这种感觉充满好奇，想知道喜欢、暗恋、追人都是什么样的体验呢？😍 #探索心动#,0.0,0.11,0.54,0.17,0.06,0.19
梦到了一头受伤的小狮子被治愈了，醒来后又想大哭！希望一切不开心的事情也能早日过去！😭 #感性时刻#,0.0,0.05,0.82,0.0,0.24,0.0
今天收到一个开心的消息，虽然不确定它的真实性，但我决定相信它！芜湖，快乐满满！🌟 #快乐瞬间#,0.09,0.0,1.0,0.0,0.0,0.0
#[num]寒假生活图鉴# 和朋友们一起度过每一天，开心无比！感谢有你们在我身边！#幸福时光#,0.0,0.0,1.0,0.0,0.0,0.0
我不喜欢那些扭捏不清的言辞，做事直接点！对每个人都好，这才是我喜欢的相处方式！💬 #直率性格#,0.07,0.0,0.92,0.13,0.0,0.0
今天早上我妈帮我整理衣服，真的每次回家都能感受到满满的关爱！爸爸妈妈的心真好！👗 #家庭时光#,0.0,0.0,1.0,0.0,0.0,0.0
最近一直睡得很久，终于决定蓄力迎接新的一年！早睡早起，健康生活！💪 #自律生活#,0.0,0.0,0.91,0.09,0.0,0.0
#[num]今天早睡早起了吗# 七点半就起啦！今天早起感觉整个人都充满了能量！💫 #早晨活力#,0.0,0.0,1.0,0.0,0.0,0.0
