posts,angry,fear,happy,neutral,sad,surprise
很难代入乙游的男主们，爱情总是无缘由，像是AI的问答一样：“你喜欢我吗？” “喜欢。” 然后是一片沉默。#感情的迷茫 #没有理由的喜欢,0.05,0.07,0.08,0.23,0.65,0.0
每次看到恋爱脑的朋友，我总是忍不住问：“你真的开心吗？”她总是点头，而我只能狠狠抽一根烟，心里暗自叹息，不愿让自己再陷入这种情感漩涡。#情感的迷茫 #自我保护,0.0,0.13,0.18,0.19,0.58,0.0
今天在工作中被客户说我提出的方案不对，气得我差点翻桌！我到底怎么了，怎么会被这种反馈气到想炸毛。#职业生涯 #客户沟通,1.0,0.0,0.0,0.0,0.07,0.0
《Love You Like the Movies》这部电影没有让我想象中的那么美好，天使爱美丽的台词也没有让我感动，或许是我心中的那份“浪漫”已经不在了。#电影分享 #失落感,0.06,0.07,0.14,0.12,0.79,0.0
我知道，只有在乎才能受伤，可我做不到。我就是活在“在乎”里，一直到此刻。#情感深思 #难以放下,0.0,0.11,0.1,0.16,0.79,0.0
作为文案，我特别享受能感受到文字温度的时刻。今天看到一句话“爸爸经常回家看奶奶，然后坐在门口的石凳子上，想他的爸爸”，心里触动了。#文字的力量 #情感共鸣,0.0,0.0,0.89,0.0,0.0,0.0
我怀疑自己真的有双向情绪波动，每天的开心和难过都没有理由。就像同事问我：“你上班真的会开心吗？”我回答：“会。”就是这么简单，却又让我自己感动了。#情绪波动 #小确幸,0.0,0.08,0.77,0.0,0.1,0.15
测了下自己，果然是ENFJ。真的喜欢自己对他人真诚的态度，也许这就是我最喜欢自己的一部分。#性格测试 #自我认识,0.0,0.0,0.74,0.14,0.0,0.14
《这世界那么多人》让我思考自己的短暂而平凡的生活。生活中的每一个小碎片，都是幸福的源泉。#生活感悟 #平凡的幸福,0.0,0.0,0.88,0.18,0.0,0.0
看到这段话：“缺乏忏悔意识，只好把惨痛的经验归罪给历史，以为潇洒，以为豁达。” 心头一阵发凉，原来很多人对历史的态度竟如此冷漠。#思考 #历史的背负,0.11,0.12,0.05,0.1,0.5,0.19
艺术和文学不应当只是生活的影像，它应该像侦探一样，发掘生活中那些被忽视的声音，打破现有的秩序。#文学艺术 #深度思考,0.06,0.07,0.2,0.81,0.0,0.0
“爱是软弱的时刻，是求助于他者的心情。” 原来爱并不是完美无缺的，它常常带着脆弱和不安。#爱与脆弱 #情感思考,0.0,0.12,0.19,0.59,0.29,0.0
爱，总是自卑和解放的交织。从自卑的洞穴中挣扎出来，才找到了爱，也许这就是成长的意义。#自卑与爱 #成长,0.0,0.05,0.8,0.13,0.08,0.0
你是我无法忘记的无名氏，每个无名的生命背后都有一个深沉的故事。#生命的故事 #无名的伟大,0.0,0.0,0.83,0.09,0.1,0.0
我从不放弃希望，因为我相信终究有一天我们会遇到那个可以拥抱的人。#希望 #相信爱,0.0,0.08,0.94,0.0,0.0,0.0
我的情绪像是低血糖前的清醒时刻，知道要晕倒，但就是无能为力。#情绪低谷 #无能为力,0.25,0.16,0.0,0.06,0.68,0.0
“我孤独，饿的病恹恹的，我从来不知道，竟然有这种精神食粮。” 这句话深深打动了我，孤独时的慰藉常常来自内心的探索。#孤独与慰藉 #精神食粮,0.0,0.13,0.51,0.15,0.28,0.14
