posts,angry,fear,happy,neutral,sad,surprise
刚看完《玫瑰的故事》，不得不说，剧情真是紧凑又充满悬念。而且[name]的状态简直好到不行，看来不上班才是最好的“医美”呀！#电视剧推荐,0.0,0.0,0.74,0.1,0.1,0.07
昨天看了一集李易臻的视频，原本就对他有点兴趣，结果一切看下来，我还是站对了男一！话说，我真不理解那些对“坚定选择”充满执念的人，是有多想秀个坚持的标签。#娱乐八卦,0.23,0.0,0.12,0.1,0.22,0.25
#aespa回归# 刚听了新歌，简直好听到不行！而且MV的创意真的太前卫了！是不是每一次的回归都能带给我们新的震撼？这才是主打歌的魅力所在！#aespa粉丝福利,0.0,0.0,0.79,0.06,0.0,0.23
冬吉双担快要崩溃了，为什么待遇差这么多呢？这不合理啊！完全应该给他们更好的妆容和服装，简直是敷衍。#娱乐圈不平衡,0.89,0.0,0.0,0.06,0.29,0.08
最近又刷到一个超火的歌，结果一开始我还不太理解，但越听越好，这种感觉好像每次听到都会被其魅力吸引。#好听的歌,0.0,0.0,0.91,0.0,0.0,0.09
看到#焉栩嘉 不用了谢谢#的微博，我才发现自己居然是从“之光，原来你姓夏”这个梗开始关注夏之光的。结果越了解越觉得这哥们儿人不错。#娱乐圈观察,0.0,0.07,0.48,0.08,0.0,0.45
#小松菜奈生子# 恭喜那位幸运的宝宝，投胎到有这么酷的爸妈，简直人生胜利组！#明星生活,0.0,0.0,0.91,0.0,0.0,0.16
那个愚月的歌，刚开始没太get到，但一听就成了心头好，真的是百听不厌！这种风格我越来越喜欢了。#音乐分享,0.0,0.0,0.98,0.06,0.0,0.0
说实话，我以前觉得选秀节目只是为了看帅哥美女，但现在发现，那些真正能脱颖而出的选手，不仅有颜值，舞台表现力也是一流。#选秀节目观察,0.0,0.09,0.45,0.39,0.0,0.18
我真的搞不懂为什么大家那么热衷于控梦，这简直是现代版的“跨维时空恋爱”，就算很不现实，但好像也很吸引人。#控制梦境,0.06,0.05,0.51,0.15,0.0,0.34
最近我也在研究如何能把小说的节奏感提升，不得不说，影视化的节奏慢了真的让人心急，不过还是期待后面的进展。#小说影视化,0.14,0.22,0.18,0.27,0.26,0.0
看了最近的选秀节目，感觉自己也成了社会上的“螺丝钉”了，一堆人都在努力，我却只能默默看着他们前进。#社会观察,0.12,0.11,0.0,0.15,0.58,0.07
今天看到一条关于“恶意叙事手法”的讨论，想起了摩天大楼的剧情，这种手法虽然有点眼熟，但确实蛮有意思的。#影视分析,0.05,0.05,0.37,0.46,0.0,0.12
昨天刷到一部超好看的土剧，男主长得像霍建华，女主像[name]，连群演的表现都超棒。居然有这种高颜值＋好演技的剧，真是内娱的“隐形宝藏”。#剧集推荐,0.0,0.0,0.59,0.08,0.0,0.34
说到“跨维恋爱”，现在看《致命游戏》，才发现自己对无限流的情节已经是上瘾了，不看别的剧就感觉不完整。#无限流迷,0.06,0.1,0.22,0.19,0.36,0.15
