posts,angry,fear,happy,neutral,sad,surprise
今天和小伙伴们一起去做了手工陶艺，虽然做出来的杯子不完美，但看到大家都笑得那么开心，觉得自己也很满足😊,0.0,0,1.0,0.0,0.0,0.0
中午去了一家藏在巷子里的小店，点了一个蛋包饭，好像是小时候妈妈做的味道，回忆瞬间涌上心头🍽️,0.0,0,0.73,0.11,0.12,0.11
昨晚吃了妈妈做的红烧肉，终于知道为什么她做的饭总是那么好吃，原来是满满的爱呀！❤️,0.0,0,0.98,0.0,0.07,0.11
和家人一起在客厅里看老电影，虽然老爸总是喜欢挑刺，但我还是觉得这是最温馨的时光🍿,0.0,0,1.0,0.0,0.08,0.0
今天买了几盆绿植，准备在阳台上布置一个小花园，觉得这会是我最放松的地方了🌿🌸,0.0,0,0.78,0.28,0.12,0.0
早上准备了热乎乎的粥和包子，送给刚刚回家的朋友，她一边吃一边笑，说这是世界上最好吃的早餐🥣,0.0,0,0.9,0.12,0.0,0.0
中午去公园散步，看到一对老夫妻牵手走过，忍不住想象自己老了之后会是什么样子，想必是和他们一样，依旧互相扶持❤️,0.0,0,0.81,0.0,0.21,0.15
刚看完一场话剧，演员的表演太精彩了，我总是忍不住去想：如果是我，会不会有那么勇敢的力量去追求梦想呢🎭,0.0,0,0.78,0.0,0.09,0.09
下午整理了家里的书架，发现好多好书都还没看，打算慢慢补上，也许这就是自己最喜欢的“放松”方式📚,0.05,0,0.86,0.13,0.08,0.07
又到了一年一度的家庭聚会，大家坐在一起聊着过往的趣事，笑得最开心的还是爷爷奶奶，看着他们笑，我也跟着开心😊,0.06,0,1.0,0.0,0.0,0.0
今天陪朋友去逛了一圈二手市场，捡到了好多漂亮的小东西，虽然不值什么钱，但都带着浓浓的怀旧气息🛍️,0.0,0,1.0,0.0,0.06,0.06
终于整理完了衣柜，发现好久没穿的衣服还蛮多的，打算送给需要的人，也许能让他们感受到我的小小心意👚,0.0,0,0.96,0.0,0.11,0.06
最近开始早起跑步，虽然刚开始有点吃力，但看到周围人也在坚持，就觉得自己也能做到💪,0.0,0,0.94,0.0,0.07,0.0
终于有时间做一个自己喜欢的甜点，做了个草莓芝士蛋糕，虽然样子不完美，但味道真是满满的幸福感🍰,0.06,0,1.0,0.0,0.06,0.0
今天去图书馆借了几本书，准备放慢生活节奏，泡一杯茶，安静地读一读📖,0.0,0,0.63,0.34,0.16,0.0
和妈妈一起做了家务，虽然一边拖地一边抱怨，但还是觉得跟妈妈一起做事情特别有意义👩‍👧,0.0,0,1.0,0.0,0.09,0.0
晚上睡前给自己泡了杯温暖的牛奶，觉得这小小的仪式感让我整个人都放松了下来，做个好梦🌙,0.0,0,0.97,0.0,0.0,0.0
刚刚和朋友约好下周一起去海边，想象着海风拂面、阳光明媚的画面，已经迫不及待了🌊,0.0,0,0.65,0.1,0.08,0.18
今天和同事一起去了公司附近的咖啡店，小小的外出，感觉和他们相处的时光特别温暖☕,0.0,0,1.0,0.06,0.0,0.0
中午偷偷溜去吃了自己最喜欢的糖醋排骨，虽然有点小罪恶感，但心情好很多🍖,0.0,0,0.99,0.0,0.14,0.0
