posts,angry,fear,happy,neutral,sad,surprise
上课讲解了一些哲学原理，看到大家面无表情，突然意识到自己讲的内容已经超过他们能理解的范围。嗯，是我太深刻了。,0.0,0.0,0.49,0.18,0.09,0.2
又一个新的想法诞生了，却被自己的不行动给耽搁。为啥我总是对做出决策的事情这么拖延？,0.38,0.0,0.0,0.06,0.5,0.25
总觉得自己把生活安排得井井有条，但身边的人总是让我怀疑，难道我的“条理”也是一场自我安慰？,0.0,0.11,0.12,0.16,0.33,0.31
今天做了一件有意义的事——改了一个小bug。对我来说，解决一个问题就是一种满足，哪怕它微不足道。,0.0,0.0,0.8,0.15,0.0,0.0
看着一堆不明所以的推文，突然意识到我似乎并不想理解所有信息，很多时候，保持不懂，反而是一种智慧。,0.09,0.0,0.4,0.23,0.32,0.09
以前觉得理论是最美的东西，现在觉得能把理论运用到实际生活中，才是最难得的艺术。,0.0,0.0,0.86,0.22,0.0,0.0
思考时间变得越来越珍贵，一点一滴的消磨，感觉在浪费自己最宝贵的资源——那就是思考的时间。,0.17,0.0,0.19,0.11,0.58,0.0
有时候觉得自己是一只孤独的企鹅，在纷繁复杂的世界里游来游去，偶尔停下，回头看看自己究竟在做什么。,0.0,0.06,0.0,0.29,0.71,0.0
最近迷上了比较复杂的逻辑谜题，一解开那一刻，好像找到了宇宙的真理。只不过，那真理和生活并没有太大关系。,0.0,0.0,0.26,0.5,0.12,0.14
看别人热衷社交，突然意识到我或许是个内向的人，不是因为不喜欢，而是对大多数话题无感。,0.09,0.0,0.07,0.27,0.52,0.15
高楼上的人看着下方行走的人群，突然想到，宇宙的真实就是这么庞大，人的渺小并不需要特别的解释。,0.0,0.0,0.49,0.24,0.13,0.21
今天的课堂上，学生提了一个问题，我忽然觉得我的理论已经无法解答现实中的问题。难道知识的边界就是这样被发现的？,0.17,0.0,0.0,0.29,0.23,0.4
我总是在生活中寻找理论的完美契合，但现实总是让我发现：理论虽然美好，但实践是另一回事。,0.0,0.0,0.25,0.35,0.48,0.07
试图解释复杂的事情，总是会被简单的事实打断。人类的本质，就是希望把所有问题都简单化，然后轻松面对。,0.0,0.0,0.52,0.48,0.0,0.08
我经常在想，如果我对所有问题都做出“理性”的解答，是否真的能改变世界，还是只能改变我自己的一小部分想法？,0.1,0.0,0.0,0.39,0.32,0.29
当我走进这家餐厅，看到每个角落都被安排得如此完美时，我突然觉得，生活也许就是为了这种无声的美感而存在。,0.0,0.0,0.83,0.18,0.0,0.14
对我来说，最大的问题不在于是否能做某件事，而是能否保持对这件事的兴趣。我每天都在找寻那种让我感兴趣的点。,0.0,0.0,0.23,0.56,0.07,0.06
有时候，我真心觉得自己像是个活在书本里的哲学家，试图解读一切，却从来没有参与过“实战”。,0.09,0.07,0.0,0.18,0.66,0.11
总是有人告诉我，“生活就是这样，不要想太多”，但每次我都反问自己，这种“思考”本身，是否也可以变成一种生活的艺术。,0.0,0.0,0.32,0.43,0.22,0.15
今天看了一部电影，真心觉得，导演的思维模式就是我追求的那种精准，却又不失自由的边界感。,0.0,0.0,0.89,0.14,0.0,0.1
世界上最难理解的并不是宇宙的奥秘，而是人类之间无法达成的共识。每个人都有一套复杂的认知世界。,0.0,0.0,0.0,0.78,0.09,0.05
对于我来说，最有趣的实验不是在实验室里，而是生活中的小事，比如看看自己能多长时间不接触手机。,0.0,0.0,0.42,0.49,0.0,0.11
每次看新闻报道，总觉得大多数信息都被过度简化了。我们依赖的，不是真实，而是能让我们心安的故事。,0.08,0.0,0.24,0.43,0.35,0.0
深夜的时候，我喜欢坐在桌前发呆，思考那些本不该思考的事情，突然发现，这就是我为自己创造的宇宙。,0.0,0.0,0.71,0.15,0.0,0.17
人生总是充满选择，每次站在十字路口，我总是倾向于选择那些最难的路径——虽然它们不一定是最对的。,0.0,0.0,0.4,0.24,0.38,0.05
看了几篇有关人的行为心理学的文章，突然想，这些理论能解释我们日常的很多困扰，但它们终究只是理论。,0.05,0.0,0.0,0.54,0.2,0.17
今天做了一个小小的决定，虽然感觉对我来说意义重大，但想想，好像也没什么大不了的，只是一次简单的选择。,0.0,0.0,0.53,0.13,0.3,0.06
从一个问题的反面入手，常常会让我得到意外的启发，生活中的很多事，其实都可以反向思考，才会看到更清晰的答案。,0.0,0.0,0.68,0.32,0.0,0.06
生活中的不确定性，正是让我感到兴奋的地方。你永远无法预见接下来的每一刻，才有了那种追求答案的欲望。,0.0,0.0,0.76,0.09,0.0,0.0
以为自己拥有了一个极其理性的思想体系，直到某个瞬间，才发现那不过是自己的盲目自信。,0.0,0.05,0.09,0.28,0.51,0.12
对于所有的“哲学性”问题，我越来越没有兴趣。最终，我发现人类生活的意义并不需要过多的解释。,0.0,0.0,0.1,0.54,0.26,0.0
