posts,angry,fear,happy,neutral,sad,surprise
这几天终于有空做了个大清扫，结果没想到家里变得比我想象中更安静了。有时候觉得，真正需要整理的不是房间，而是自己。🧹✨,0.0,0.0,0.18,0.13,0.52,0.17
做了一顿饭给自己，感觉像是把心情都调入锅里一起炖了。每一口都是对自己的温柔吧。谁能理解这份“爱”的沉甸甸呢？,0.0,0.0,0.71,0.0,0.26,0.0
听到街上小孩的笑声，突然想起了自己小时候玩泥巴的日子，那时候觉得世界是那么大，充满了未知和可能。,0.0,0.0,0.84,0.0,0.0,0.0
最近迷上了在雨天读书的感觉，窗外的雨声像是世界给我的背景音乐。最好的时光，大概就是在这种宁静中消磨掉的吧。,0.08,0.0,0.45,0.17,0.4,0.0
有时候会想，人生不过是一场等待。等待一个更好的自己，等待一个可以理解你的灵魂。其实，最难的，是学会等待。,0.0,0.0,0.38,0.3,0.44,0.0
今天的晚餐差点被烤焦了，但它还是撑得住。好像我和它一样，外面看起来不完美，内心却充满了坚持。🌱,0.0,0.0,0.95,0.0,0.1,0.0
说不上为什么，看到那本旧书时，突然就很想哭。它让我想起了那些曾经很迷茫但依旧勇敢的自己。📚,0.0,0.0,0.07,0.09,0.94,0.0
梦里总是能看到那条曾经熟悉的小路，走过的每一步都那么清晰。醒来后，却再也找不回那种感觉了。,0.0,0.0,0.13,0.07,0.89,0.0
今天捡到一只小猫，它一边喵喵叫着，一边扑向我。突然想，或许它也在寻找某种温暖，就像我一样。🐾,0.0,0.0,0.68,0.1,0.17,0.09
我还是习惯在深夜想一些不切实际的事，梦见自己能飞上天，抛开所有烦恼。但终究还是得醒来，继续做一个平凡的人。,0.0,0.0,0.78,0.05,0.19,0.0
每次跟家人一起吃饭，我总是吃得比别人慢。或许我并不是真的饿，只是在找一个能让自己安静的理由吧。🍴,0.0,0.0,0.28,0.22,0.52,0.0
突然觉得，一些人你再怎么努力去接近，也始终无法走进他们的世界。有些距离，注定是无法逾越的。,0.0,0.0,0.08,0.14,0.87,0.0
最近试着做了一些改变，没想到结果居然比想象中要好。也许，改变只是开始，重要的是你愿意走出那一步。,0.0,0.0,0.67,0.0,0.07,0.21
感觉每次自我怀疑的时候，都会不自觉地回到过去。可是那些“过去”的自己，早就和现在的我有了很大的不同。,0.0,0.05,0.05,0.0,0.77,0.13
我对未来没有明确的规划，毕竟未来那么远，现在这么近，何不享受眼前的一切，尽管一切都是那么微不足道。,0.1,0.0,0.16,0.16,0.66,0.0
今天尝试了做一个没有计划的日子，结果居然还挺开心的。或许，偶尔也需要给自己放个假，去享受混乱的自由。,0.0,0.0,0.82,0.0,0.06,0.15
“如果你不喜欢这条路，走另一条。”这句话说得那么简单，但我一直没找到那条所谓的“另一条”。,0.0,0.0,0.0,0.27,0.6,0.07
好久没去公园散步了，心里总是有些压抑的情绪。突然走到那片草地上，感觉一切都轻松了许多。,0.09,0.0,0.55,0.05,0.39,0.0
有时候，不知道是不是我太感性，连一首歌、一段文字都能让我泪流满面。或许，这就是我独有的柔软吧。,0.08,0.0,0.52,0.13,0.43,0.0
最近迷上了做一些小小的手工艺，或许这是我和世界对话的方式吧。每个小细节，都藏着我的心意。,0.0,0.0,0.83,0.21,0.0,0.0
今天又被妈妈提醒了很多遍，“别再熬夜了。”但有时候，我想把一切压在夜里，直到清晨。,0.12,0.1,0.08,0.13,0.64,0.0
昨晚看完一部电影，突然有了很多思考。世界真的如此复杂吗？或许只是因为我们还不够了解它吧。,0.0,0.06,0.0,0.24,0.52,0.31
想起以前喜欢的那些动漫角色，突然感到有些心酸。那时的自己，总觉得这些角色和我一样孤独、渴望被理解。,0.0,0.0,0.0,0.17,1.0,0.0
明明一切都还好，为什么总觉得有一种空虚感呢？是不是，心底总有一个声音告诉我，永远都在寻求些什么。,0.08,0.0,0.0,0.0,0.95,0.0
我好像总是希望能遇到“特别”的人，但其实那些“特别”的人也不过是在寻常日子里，带给我们一点点光亮。,0.0,0.0,0.54,0.26,0.26,0.0
终于找到了一本好书。文字里藏着那么多情感，让我觉得，或许我并不孤单。,0.0,0.0,0.9,0.0,0.08,0.0
为什么总是要等到失去才能懂得珍惜呢？心里难过的那一刻，才知道曾经的拥有是那么宝贵。,0.07,0.0,0.0,0.06,1.0,0.0
走到窗前，望着这座城市的灯火，我突然有了一个很深的感触。每个人都在为自己的未来努力，却又在同一片天空下生活。,0.0,0.0,0.63,0.15,0.2,0.0
最近每天都在想一件事：是不是只有在极度孤独的时候，才会找到自己最真实的想法？,0.07,0.07,0.0,0.17,0.64,0.18
看着手机屏幕上那些熟悉的名字，忽然意识到，很多人都在各自的生活中默默前行。我们都在找寻同样的东西。,0.0,0.0,0.27,0.2,0.41,0.16
