posts,angry,fear,happy,neutral,sad,surprise
又做了个奇怪的梦，梦见自己在大海里游泳，水很清澈，但总觉得自己好像迷路了。醒来后才发现，或许是生活中自己也有点迷茫吧。🌊,0.0,0.17,0.0,0.13,0.44,0.33
周末去爬山，风轻轻吹，阳光透过树叶洒在身上，感觉自己像被世界温柔拥抱了。🌲,0.0,0.0,0.96,0.06,0.05,0.0
今天心情特别复杂，有时候真想给自己放个假，安静地待在家里，什么都不想做。💭,0.27,0.1,0.0,0.0,0.74,0.06
路边的花开了，忽然有种小小的感动，像是看见了一点久违的温暖。🌸,0.0,0.0,0.88,0.0,0.11,0.0
看着窗外的雨，觉得自己好像被世界静静包围着，所有的声音都变得模糊。🌧️,0.1,0.1,0.0,0.25,0.73,0.0
偶尔也会想，为什么生活总是这么不尽人意，但还是会有些小美好让我坚持下去。💔,0.0,0.0,0.79,0.0,0.22,0.06
今天偶然看到一对老夫妻牵着手散步，心里有点温暖，或许爱情真的能长久吧。👴👵,0.0,0.0,0.91,0.0,0.08,0.0
看着手机里那张旧照片，突然觉得有点想念过去的自己，也许我真的应该去面对那些错过的东西。📸,0.0,0.0,0.0,0.0,1.0,0.0
这几天总是感觉累，可能是工作太压抑了吧，真希望有个地方能让我静一静。😞,0.12,0.07,0.11,0.12,0.73,0.0
今天和朋友去喝了咖啡，聊了很多话题，感觉心里轻松了很多。☕️,0.0,0.0,0.81,0.16,0.09,0.0
今天在街上走着，看到一个小女孩在追着蝴蝶跑，忍不住笑出声来，世界上的小幸福真是无处不在。🦋,0.0,0.0,0.94,0.0,0.0,0.09
看着窗外的夕阳，突然想起好多过往的事，过去的那些岁月也许已经不再，未来还需要走下去。🌅,0.0,0.0,0.09,0.09,0.86,0.0
真是怪了，今天的心情莫名其妙的低落，好像自己不小心失去了什么。😔,0.23,0.12,0.0,0.0,0.49,0.28
今天做了一件勇敢的事，虽然有点后悔，但至少我尽力了。也许生活就该是这样吧，勇敢去做，才不辜负自己。💪,0.0,0.07,0.91,0.0,0.06,0.0
每当夜深人静的时候，我总喜欢一个人静静地坐着，看着黑夜，想一些不为人知的心事。🌙,0.0,0.0,0.49,0.21,0.29,0.0
今天在学校看到一位老教授在讲解问题，眼睛里闪烁的光芒让我突然明白了什么是热爱。👨‍🏫,0.0,0.0,0.76,0.14,0.0,0.12
最近工作有点迷茫，突然觉得自己好像走进了一个死胡同，不知道该怎么走下去。😔,0.09,0.14,0.0,0.18,0.75,0.07
心里好像有个小声音告诉我，去做自己喜欢的事吧，哪怕会有失败，至少不后悔。🎨,0.0,0.0,0.79,0.07,0.11,0.0
我还是喜欢那种安静的时光，没有太多的纷扰，只要有个角落，读本书，喝杯茶就好。📚🍵,0.0,0.0,0.86,0.17,0.06,0.0
有时候觉得自己真的不适合社交，总是有点不自在，宁愿安安静静待着。🌿,0.05,0.0,0.0,0.16,0.84,0.0
这段时间一直在反思自己，可能是自己太过沉浸在过去的回忆里，才忽视了眼前的生活。🕰️,0.0,0.08,0.0,0.25,0.75,0.13
其实我也很喜欢和朋友们聚会，只是偶尔也想一个人待着，安静、自在，什么都不想做。🌙,0.0,0.0,0.62,0.15,0.21,0.08
看着身边的同学们都忙着考研、找工作，我却有点迷茫，不知道自己到底想要什么。💼,0.0,0.1,0.0,0.19,0.67,0.14
朋友给我推荐了一部电影，看完之后心里有一种莫名的感动，大概就是那种看了会让人沉思的故事吧。🎬,0.0,0.0,0.74,0.12,0.07,0.09
今天去散步，走在街上看到一对情侣，心里有点羡慕，虽然我一直不敢轻易去爱。💕,0.0,0.0,0.71,0.0,0.3,0.0
看着窗外的云，感觉自己好像变得越来越渺小，不知道该往哪里去。☁️,0.08,0.1,0.0,0.14,0.9,0.0
最近总是睡不着，脑袋里满是各种各样的想法，好像永远也理不清。🛏️,0.15,0.0,0.0,0.1,0.83,0.0
喜欢看别人开心，也喜欢自己偶尔的安静和孤独。也许这就是我所需要的生活吧。🍃,0.0,0.0,0.9,0.09,0.0,0.08
看到一个人牵着狗散步，心里突然有种温暖的感觉，大概是喜欢宠物的原因吧。🐶,0.0,0.0,0.88,0.1,0.0,0.08
今天去参加了一个活动，虽然有点紧张，但也算是体验了一次新鲜的事，感觉自己进步了。🎉,0.0,0.0,1.0,0.0,0.0,0.0
终于明白了，人生并不需要一直追求完美，重要的是能在每个瞬间找到属于自己的平静和快乐。🌸,0.0,0.0,0.88,0.0,0.05,0.0
看了一本书，里面写着“勇敢地去追求你想要的”，突然觉得自己也许该给自己更多的勇气。📖,0.0,0.0,0.67,0.05,0.15,0.0
在某个瞬间，我开始怀疑自己是不是太过固执，总是坚持自己的想法而忽略了周围人的感受。🤔,0.1,0.1,0.0,0.16,0.67,0.17
喜欢一个人很简单，就是在他笑的时候，你的心里也会忍不住跟着笑。🙂,0.0,0.0,0.84,0.12,0.08,0.0
最近总是做梦，梦见自己在一个陌生的地方，感觉很迷茫，也许我该去探索一些未知的东西。🌍,0.0,0.14,0.0,0.12,0.66,0.09
看着朋友圈里的人都在晒自己的生活，突然觉得自己好像什么都没有，心情有些低落。😔,0.14,0.07,0.0,0.07,0.85,0.0
感觉自己越来越怕孤独了，明明习惯了独自一人，却又觉得空虚。🤍,0.05,0.22,0.0,0.0,0.95,0.0
今天和朋友聊了很多心事，感觉像是卸下了好多负担，心里轻松了许多。💬,0.0,0.0,0.83,0.1,0.11,0.0
对于未来的某些事，还是有点害怕，怕自己做不好，怕自己又失去什么。😢,0.0,0.57,0.06,0.08,0.53,0.0
喜欢和朋友一起安安静静地坐着，偶尔聊聊心事，不说话的时候就听着安静的背景音乐。🎶,0.0,0.0,0.75,0.26,0.09,0.0
每当遇到困难的时候，我总是会想起那些不曾放弃的时光，那些让我坚持下去的动力。⏳,0.0,0.06,0.78,0.0,0.18,0.0
看到身边的人都在快速成长，我却好像一直停滞不前，心里有些焦虑。⏰,0.0,0.16,0.0,0.14,0.83,0.07
今天去跑步了，虽然有点累，但跑步时的那种自由感，真的是让人上瘾。🏃‍♀️,0.0,0.0,0.98,0.0,0.0,0.06
想着想着，觉得自己好像没做什么特别的事，但生活就是由这些小事组成的吧。🌱,0.0,0.0,0.44,0.15,0.31,0.2
最近在考虑是否要换个工作，虽然目前的工作也不差，但总觉得自己缺少点什么。💭,0.07,0.0,0.0,0.19,0.74,0.0
今天去看了一场话剧，表演真的很精彩，看完后心情也变得不那么沉重了。🎭,0.0,0.0,0.68,0.11,0.31,0.0
突然觉得自己好像很难放下过去，尽管已经过去那么久，还是会不自觉地回忆。⏳,0.0,0.0,0.0,0.08,1.0,0.0
每次想到未来的路，心里总是充满了不确定性，但也许正因为不确定，才更值得去走吧。🌟,0.0,0.0,0.68,0.1,0.17,0.05
有时候真的希望自己能有一双能看穿人心的眼睛，但又怕看到真相。👀,0.0,0.26,0.0,0.08,0.67,0.1
今天跟朋友一起吃了火锅，虽然很简单，但却是那种很满足的幸福感。🍲,0.0,0.0,1.0,0.0,0.05,0.0
